feature,prominence
 to,0.01800981438236293
le,0.017982428481118487
io,0.017980620705778484
vbz dt,0.01771807986018064
ra,0.01766898538244806
nn prp,0.01758783404262746
of,0.017260266159725188
co,0.01715365671385108
cd nn,0.01714129536203471
rp,0.017055369198237913
jjr,0.017038065723967443
on ,0.01700834406701591
vbd prp,0.016981598687463073
nnp cd,0.016949775439761835
ve,0.016935309521446427
nnp jj,0.016858895352561385
ea,0.016828334862447593
ne,0.016817393444944862
vbg to,0.016648620076534202
rb vbn,0.016648126430039937
 of,0.016607896177604733
to ,0.016605367923408068
k,0.016565992436559443
ic,0.016450256267453358
ion,0.016442933889274036
nnp rb,0.016257512478025753
nd ,0.0162349253526182
nns vbg,0.01616851620682505
and,0.016163238157038566
ri,0.016049031111298514
nns dt,0.016028812262416092
cc nn,0.015981814411107284
f ,0.015936637613928963
vb prp,0.015917633784313042
ro,0.01575640987775176
ce,0.015745959315922094
cc jj,0.015691197674175407
li,0.015448472689851767
cd in,0.01543218945835667
vb in,0.015378186613774809
nn rb,0.015329008919617602
prp jj,0.015150138837315355
nns to,0.014965209485839225
rb vb,0.014852622041953117
nns nnp,0.014755735639369192
wrb,0.014716770356735341
nnp vbg,0.014462708623877628
nn vbn,0.014422386662112372
vbd rb,0.014390922006032718
of ,0.014320389946728825
jj in,0.01431534336579925
nns nn,0.01422027217304771
er ,0.014167041555242035
rb jj,0.014112601242570716
vbg nn,0.014089493646936397
 re,0.014078128507452936
cc dt,0.01407452542442109
rb rb,0.014060819959567197
in ,0.013902902894956892
tio,0.013770769964569808
vbn to,0.013746460114791746
hi,0.013732521277121636
si,0.013719053497618292
 a ,0.013712132665371581
 l,0.013683777026016839
 co,0.013653047098029756
 n,0.01364063923155556
pr,0.013614621854096705
nn wdt,0.013497622939363886
ll,0.013476906495148426
vbp vbn,0.013421101181230948
dt cd,0.013377539115951098
id,0.013329427468667117
ta,0.013283406748735628
rb vbg,0.01320028656229491
prp vbz,0.01318248578109721
vbz rb,0.013144389657211762
rb vbd,0.012966246546921571
nns rb,0.012918031492881997
vb nn,0.012821788781584027
jjs,0.012748634894114328
nnp nnps,0.01271245567051126
fo,0.012670555365321282
vbd to,0.012626539051051048
ur,0.012592935346364595
il,0.012357527241343058
la,0.012129297851307196
nn jj,0.012121866999323102
tr,0.011976430643556342
prp md,0.011958058554159877
vbg nns,0.011948364328382349
ts,0.011945418301191493
cc nns,0.011855194009208843
vb jj,0.011799821586149404
rs,0.01179692997449059
es ,0.011762912999639226
ns,0.0117182631616933
as ,0.011695479903428306
ca,0.011672567875557755
di,0.011577933753025635
ho,0.011552234728047294
nnp prp,0.011517605459245241
cd nnp,0.011507597708302853
s a,0.011438450670331753
un,0.011410820095345435
nnps nnp,0.011408060073906075
om,0.011398573400872653
vbg prp,0.011391447036890432
prp nns,0.011379695041935223
ati,0.011360019461178136
ma,0.011351354761853932
ec,0.011340314428790224
ai,0.011291474592518148
h ,0.01123589520191195
mi,0.011234293675811625
vb vbn,0.011185518243448789
to nnp,0.011181744711610172
 pr,0.011178445449379678
vbn dt,0.01117420119396806
el,0.011154661650076935
al ,0.011112430446183789
vbg nnp,0.011048485025869251
po,0.011041131294659777
vbd jj,0.011032804742587592
vbg jj,0.011021702685527488
nns vbn,0.010942087838758847
in in,0.010890453125283486
jjr in,0.010879649591242612
vbz in,0.010875628970857773
vb nnp,0.010864572157881265
ter,0.010830994164098055
ac,0.010828160418084584
rt,0.010814622792012838
for,0.010799705284240062
at ,0.010799659740084391
nn md,0.010724795536413204
rb dt,0.010685457554160786
nns nns,0.01064838466063569
nnp to,0.010643569004981264
us,0.010623000603948336
vbz vbg,0.010619170419763239
d t,0.010586221493616349
ot,0.010550645499892897
cd cd,0.010504790827188495
wp vbd,0.01048352802628634
vbp rb,0.010432347402650123
ge,0.010426222882338979
 u,0.010347031436731302
ts ,0.01027506390232336
vb nns,0.010241602566662813
ut,0.010220432903109566
md rb,0.010128344278610826
nns jj,0.010073194310571992
vbd nns,0.01003964862208682
be,0.010015467970247617
na,0.009988874014770697
vbd vbg,0.009986962391656255
cc vbd,0.009970881298015334
is ,0.009940490140060336
res,0.009905417799051146
jj to,0.00986212726592554
ate,0.00985006143984227
ad,0.009844413664997888
vbd nn,0.009769702189282092
vbn nnp,0.009764994963647172
pe,0.009758918898460383
re ,0.009732792605626745
 fo,0.0097212606790906
 on,0.009673142947410063
e t,0.0096268286451168
nc,0.00962163756866571
cc prp,0.009596816642013421
ni,0.009515971042412792
jj cc,0.009507097962863474
or ,0.009487246032013353
ch,0.009473642007149244
da,0.009464667313655644
cc rb,0.009446899287495352
n t,0.009424041943140112
wi,0.009364407383860988
ct,0.009333993419664063
ss,0.009331125993380646
s t,0.009321746802949062
ee,0.009302477676622432
ol,0.00929739041901261
t t,0.009293798621623392
nnp md,0.009261221542237111
e a,0.00923686675808116
ig,0.009182677299877545
 g,0.009176499165350021
sa,0.009170184236956097
prp in,0.009164100435647133
fi,0.009126795744421046
